ADDITIONAL_DETAILS__C,DEPTH__C,DESCRIPTION,FAMILY,HEIGHT__C,ISACTIVE,NAME,PRODUCTCODE,EXTERNALID,STOCKKEEPINGUNIT,WEIGHT__C,WIDTH__C
"950 Watt brewing system delivers 12 cups of bold and delicious piping hot cup of Joe in minutes with just one touch of a button
Bold strength selecting feature allows you to customize the coffee flavor to your preferred tastes
Wake up to a fresh pot of coffee every morning! Programmable up to 24hours - set it the night before to auto-start brew first thing in the morning
Pause and serve feature allows you to serve a cup of coffee anytime, even mid-brew! Simply pull and pour. Brewing will resume as you place carafe back in the unit
Includes permanent filter and coffee scoop. The permanent filter is dishwasher safe and has a removable brew basket that collects the used coffee grounds to minimize the mess","22""","Savor freshly brewed coffee with this Bella Pro coffee maker. Its strength-control feature delivers a perfectly tasting brew, and the LCD display and programmable functions provide highly visible controls and effortless operation. With its powerful 1100W system, this Bella Pro coffee maker lets you prepare up to 14 cups, ready to be served via the included glass carafe

The ultimate in coffee making luxury. Create up to three gourmet coffees at the same time. Granular control of the froth and foaminess. Can create a coffee in under 60 minutes",Commercial,"22""",TRUE,Bella Chrome Coffee Machine,B-C-COFMAC-001,B-C-COFMAC-001,B-C-COFMAC-001,"195""","40"""
"European Ash wood handles and actuators
Glass touchscreen display
Automatic shot timers
Adjustable brew temperature
Shot mirror
Hot water tap
Non-slip feet
Variable flow rate
Personalized steam pressure with PID & customizable wand tip
Dual tanks with power management
Pre-heat coil for brew temperature stability
Commercial portafilter with 58mm, 18g basket
Direct plumb
Certified ETL Sanitation* (conforms to NSF/ANSI Standard 4)","22""","The Capricorn II group espresso machine is the perfect addition to your restaurant, coffee shop, or cafe! Not only does this machine give you the opportunity to add one-of-a kind hot beverages to your menu, but its stainless steel dual boiler system and automatic functionality ensure fast, efficient service for your customers. A user-friendly option for any high-volume establishment, this espresso machine is sure to take your customer's morning fix to the next level.",Commercial,"22""",TRUE,Capricorn II Group Espresso Machine,ID-CAP-II,ID-CAP-II,ID-CAP-II,98 lbs,"28"""
"European Ash wood handles and actuators
Glass touchscreen display
Automatic shot timers
Adjustable brew temperature
Shot mirror
Hot water tap
Non-slip feet
Variable flow rate
Personalized steam pressure with PID & customizable wand tip
Dual tanks with power management
Pre-heat coil for brew temperature stability
Commercial portafilter with 58mm, 18g basket
Direct plumb
Certified ETL Sanitation* (conforms to NSF/ANSI Standard 4)","22""","The Capricorn III group espresso machine is the perfect addition to your restaurant, coffee shop, or cafe! Not only does this machine give you the opportunity to add one-of-a kind hot beverages to your menu, but its stainless steel dual boiler system and automatic functionality ensure fast, efficient service for your customers. A user-friendly option for any high-volume establishment, this espresso machine is sure to take your customer's morning fix to the next level.",Industrial,"22""",TRUE,Capricorn III Group Espresso Machine,ID-CAP-III,ID-CAP-III,ID-CAP-III,195 lbs,"76"""
"Bulk grinder holds 1 lb. of fresh beans in its hopper
Quickly grinds 1 lb. of coffee in under 30 seconds
Multiple grind options allow you to choose the perfect grind size for your brew
Bag switch automatically turns off the motor when a bag is removed for added safety
Cleaning lever makes it easy to thoroughly clean the grinder",,"This multi-purpose grinder prepares fresh coffee, salt, pepper, green tea, and even sesame seeds. A ceramic grinding mechanism never alters flavor of grinds, resulting in fresh, flavorful, and pure ingredients",Residential,,TRUE,Ceramic Coffee Grinder,CERCG-1,CERCG-1,CERCG-1,,
,,These expertly roasted beans are the pride and joy of Colombia. They have taken the coffee world by storm. Try it for yourself!,Commercial,,TRUE,Colombian Dark Roast Revolution Blend,CREV-DR-BLEND,CREV-DR-BLEND,CREV-DR-BLEND,10 lbs,
"European Ash wood handles and actuators
Glass touchscreen display
Automatic shot timers
Adjustable brew temperature
Shot mirror
Hot water tap
Non-slip feet
Variable flow rate
Personalized steam pressure with PID & customizable wand tip
Dual tanks with power management
Pre-heat coil for brew temperature stability
Commercial portafilter with 58mm, 18g basket
Direct plumb
Certified ETL Sanitation* (conforms to NSF/ANSI Standard 4)","21""","The Capricorn I group espresso machine is the perfect addition to your restaurant, coffee shop, or cafe! Not only does this machine give you the opportunity to add one-of-a kind hot beverages to your menu, but its stainless steel dual boiler system and automatic functionality ensure fast, efficient service for your customers. A user-friendly option for any high-volume establishment, this espresso machine is sure to take your customer's morning fix to the next level.",Commercial,"22""",TRUE,Capricorn I Group Espresso Machine,ID-PEM,ID-PEM,ID-PEM,75 lbs,"16"""
"Programmable extraction controls
Revolutionary, patented cascading spray dome for maximum flavor extraction
User-friendly digital touchpad with bright LED lights
Manual hot water faucet
Stainless steel finish for durability and easy cleaning
Durable plastic brew basket with removable insert and counter stand
Designed to brew up to 5.8 gallons per hour
120V, 2400W, 1 phase","22""","This coffee brewer is an excellent addition to any cafe or restaurant where a reliable source of coffee is needed. It brews coffee directly into an airpot at optimum temperatures between 201 and 205 degrees Fahrenheit for a rich, consistent product every time. While this model is intended for low volume use, 1650W of power allows you to brew up to 56 cups per hour.",Commercial,"22""",TRUE,Commercial - Medium Scale Brewer,CM-MSB-300,CM-MSB-300,CM-MSB-300,98 lbs,"28"""
,,"This roast will transport you to a beach cabana in Cuba on a warm summer, sunny day. The seagulls flock above you, the shade of the palm tree cools you and you want the feeling to linger on.",Commercial,,TRUE,Cuban Libre Dark Roast Bean Bag,CL-DR-BB,CL-DR-BB,CL-DR-BB,2 lbs,
,,"2.5 lbs of dark roasted, single-origin, fair trade and Organic Arabica bean from the Chiapas region of Mexico. It is nutty with notes of caramel and slight baker's chocolate. It is fresh roasted and rated Premium Grade ""1,"" the highest rating available for coffee.",Commercial,,TRUE,Dark Roast Whole Bean Coffee,DRW-1,DRW-1,DRW-1,2.5 lbs,
"Stainless steel and plastic housing
Stainless steel boiler
Prepares one or two shots from ground beans or pods
15-bar professional pressure
Quick-start self-priming system
Includes portafilter, tamper/scoop, and 3 portafilter baskets
Removable drip tray
Clean with a damp cloth
Filter holder can be rinsed out in the sink
Made in China","22""","Prepare café-quality espresso that’s smooth and deliciously aromatic with the NEW Easy Mart Capsule Machine's easy to use one-touch operation.

The ultra-slim Y3 makes it effortless to prepare espresso with the touch of a button. Its stylish and compact design makes it a perfect fit for any kitchen décor. The Y3 features two programmable coffee settings and adjusts to fit almost any cup size to ensure you can enjoy your espresso just the way you like it.",Commercial,"21""",TRUE,Easy Mart Espresso Machine,EM-ESP-001,EM-ESP-001,EM-ESP-001,60 lbs,"31"""
